eyeDataTimestamp,eyeDataRelativeTimestamp,frameTimestamp,isCalibrationValid,gazeHasValue,mainCameraCoor_x,mainCameraCoor_y,mainCameraCoor_z,gazeOrigin_x,gazeOrigin_y,gazeOrigin_z,gazeDirection_x,gazeDirection_y,gazeDirection_z,gazePointOrientation_x,gazePointOrientation_y,gazePointOrientation_z,gazePointHit,gazePoint_x,gazePoint_y,gazePoint_z,gazePoint_target_name,gazePoint_target_x,gazePoint_target_y,gazePoint_target_z,gazePoint_target_pos_x,gazePoint_target_pos_y,gazePoint_target_pos_z,gazePoint_target_rot_x,gazePoint_target_rot_y,gazePoint_target_rot_z,gazePoint_target_scale_x,gazePoint_target_scale_y,gazePoint_target_scale_z,gazePointLeftScreen_x,gazePointLeftScreen_y,gazePointLeftScreen_z,gazePointRightScreen_x,gazePointRightScreen_y,gazePointRightScreen_z,gazePointMonoScreen_x,gazePointMonoScreen_y,gazePointMonoScreen_z,GazePointWebcam_x,GazePointWebcam_y,GazePointWebcam_z,gazePointAOIHit,gazePointAOI_x,gazePointAOI_y,gazePointAOI_z,gazePointAOI_name,gazePointAOI_target_x,gazePointAOI_target_y,gazePointAOI_target_z,gazePointAOI_target_pos_x,gazePointAOI_target_pos_y,gazePointAOI_target_pos_z,gazePointAOI_target_rot_x,gazePointAOI_target_rot_y,gazePointAOI_target_rot_z,gazePointAOI_target_scale_x,gazePointAOI_target_scale_y,gazePointAOI_target_scale_z,GazePointAOIWebcam_x,GazePointAOIWebcam_y,GazePointAOIWebcam_z,GameObject_virtual_1_xPos,GameObject_virtual_1_yPos,GameObject_virtual_1_zPos,GameObject_virtual_1_xRot,GameObject_virtual_1_yRot,GameObject_virtual_1_zRot,GameObject_virtual_1_xScale,GameObject_virtual_1_yScale,GameObject_virtual_1_zScale,info
1646641390283,335085.5644,1646641390310,True,True,-0.01712,1.59935,-0.09145,-0.01180,1.59850,-0.08183,0.06506,-0.02922,0.99745,-0.06866,0.00812,0.01479,True,0.12395,1.53753,1.99920,SpatialMesh - 1044,1.10270,0.00270,-0.01287,-0.73380,1.52085,2.69211,89.74359,88.92132,49.85062,1.00000,1.00000,1.00000,864.72550,669.35770,2.07726,875.32130,668.58950,2.07606,872.41560,670.92370,2.07655,1271.31800,844.39010,2.02507,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390316,335118.8983,1646641390334,True,True,-0.01710,1.59931,-0.09146,-0.01166,1.59849,-0.08185,0.06399,-0.02915,0.99753,-0.06837,0.00811,0.01475,True,0.12182,1.53767,1.99921,SpatialMesh - 1044,1.10105,0.00138,-0.01303,-0.73380,1.52085,2.69211,89.74207,88.92934,49.85889,1.00000,1.00000,1.00000,862.82350,668.37260,2.07742,873.41430,667.61400,2.07624,870.48080,669.94520,2.07672,1269.45300,843.42360,2.02525,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390349,335152.2321,1646641390370,True,True,-0.01718,1.59924,-0.09159,-0.01166,1.59846,-0.08186,0.06289,-0.02867,0.99761,-0.06829,0.00865,0.01423,True,0.11952,1.53866,1.99920,SpatialMesh - 1044,1.09927,-0.00007,-0.01403,-0.73380,1.52084,2.69210,89.74435,88.94601,49.87526,1.00000,1.00000,1.00000,862.91890,668.85580,2.07729,873.50850,668.09500,2.07611,870.57710,670.42620,2.07659,1269.54200,843.88910,2.02512,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390383,335185.5661,1646641390410,True,True,-0.01723,1.59926,-0.09190,-0.01199,1.59840,-0.08204,0.06112,-0.02847,0.99773,-0.06854,0.00982,0.01408,True,0.11550,1.53902,1.99918,SpatialMesh - 1044,1.09615,-0.00260,-0.01442,-0.73380,1.52083,2.69209,89.74131,88.96629,49.89550,1.00000,1.00000,1.00000,863.74360,670.00310,2.07710,874.33470,669.23550,2.07591,871.41570,671.56800,2.07640,1270.34300,845.00230,2.02492,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390416,335218.9000,1646641390435,True,True,-0.01718,1.59932,-0.09169,-0.01209,1.59847,-0.08192,0.06000,-0.02797,0.99781,-0.06836,0.01049,0.01367,True,0.11304,1.54013,1.99909,SpatialMesh - 1044,1.09429,-0.00422,-0.01554,-0.73380,1.52083,2.69208,89.74283,88.97618,49.90564,1.00000,1.00000,1.00000,864.05980,670.15800,2.07658,874.63870,669.38810,2.07539,871.73080,671.72120,2.07587,1270.64800,845.14540,2.02440,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390449,335252.2338,1646641390470,True,True,-0.01711,1.59939,-0.09180,-0.01225,1.59846,-0.08209,0.05850,-0.02712,0.99792,-0.06753,0.01144,0.01432,True,0.10975,1.54189,1.99894,SpatialMesh - 1044,1.09183,-0.00639,-0.01733,-0.73379,1.52082,2.69206,89.74207,88.99680,49.92628,1.00000,1.00000,1.00000,864.52590,668.71340,2.07643,875.09720,667.94700,2.07523,872.20040,670.28150,2.07572,1271.11700,843.75040,2.02425,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390483,335285.5678,1646641390510,True,True,-0.01705,1.59921,-0.09189,-0.01271,1.59840,-0.08222,0.05922,-0.02796,0.99786,-0.06765,0.01139,0.01406,True,0.11082,1.54009,1.99905,SpatialMesh - 1044,1.09256,-0.00563,-0.01554,-0.73379,1.52080,2.69204,89.74207,89.01889,49.94783,1.00000,1.00000,1.00000,865.26000,667.69060,2.07678,875.83920,666.92650,2.07558,872.95030,669.26180,2.07607,1271.85300,842.77470,2.02461,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390516,335318.9016,1646641390540,True,True,-0.01687,1.59937,-0.09191,-0.01268,1.59843,-0.08233,0.05856,-0.02812,0.99789,-0.06766,0.01097,0.01414,True,0.10946,1.53978,1.99905,SpatialMesh - 1044,1.09149,-0.00647,-0.01524,-0.73378,1.52079,2.69202,89.74359,89.04297,49.97169,1.00000,1.00000,1.00000,862.38070,667.23770,2.07703,872.95610,666.48300,2.07585,870.02310,668.81440,2.07633,1269.02200,842.31450,2.02487,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390549,335352.2355,1646641390570,True,True,-0.01691,1.59930,-0.09204,-0.01321,1.59842,-0.08240,0.06044,-0.02863,0.99776,-0.06748,0.01067,0.01409,True,0.11288,1.53870,1.99911,SpatialMesh - 1044,1.09409,-0.00426,-0.01414,-0.73377,1.52079,2.69200,89.74207,89.05544,49.98456,1.00000,1.00000,1.00000,864.32100,665.72870,2.07747,874.90830,664.97560,2.07628,872.00040,667.30920,2.07676,1270.95100,840.88180,2.02531,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
1646641390583,335385.5694,1646641390610,True,True,-0.01696,1.59930,-0.09209,-0.01311,1.59844,-0.08246,0.06151,-0.02818,0.99771,-0.06690,0.01042,0.01406,True,0.11522,1.53965,1.99901,SpatialMesh - 1044,1.09594,-0.00284,-0.01510,-0.73376,1.52077,2.69197,89.74283,89.07736,50.00632,1.00000,1.00000,1.00000,865.46950,664.45260,2.07759,876.05850,663.70070,2.07638,873.16820,666.03630,2.07687,1272.09400,839.66070,2.02542,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.59500,1.69900,2.00300,0.00000,0.00000,0.00000,1.00000,1.00000,1.00000,
