"eyeDataTimestamp";"eyeDataRelativeTimestamp";"frameTimestamp";"isCalibrationValid";"gazeHasValue";"mainCameraCoor_x";"mainCameraCoor_y";"mainCameraCoor_z";"gazeOrigin_x";"gazeOrigin_y";"gazeOrigin_z";"gazeDirection_x";"gazeDirection_y";"gazeDirection_z";"gazePointOrientation_x";"gazePointOrientation_y";"gazePointOrientation_z";"gazePointHit";"gazePoint_x";"gazePoint_y";"gazePoint_z";"gazePoint_target_name";"gazePoint_target_x";"gazePoint_target_y";"gazePoint_target_z";"gazePoint_target_pos_x";"gazePoint_target_pos_y";"gazePoint_target_pos_z";"gazePoint_target_rot_x";"gazePoint_target_rot_y";"gazePoint_target_rot_z";"gazePoint_target_scale_x";"gazePoint_target_scale_y";"gazePoint_target_scale_z";"gazePointLeftScreen_x";"gazePointLeftScreen_y";"gazePointLeftScreen_z";"gazePointRightScreen_x";"gazePointRightScreen_y";"gazePointRightScreen_z";"gazePointMonoScreen_x";"gazePointMonoScreen_y";"gazePointMonoScreen_z";"GazePointWebcam_x";"GazePointWebcam_y";"GazePointWebcam_z";"gazePointAOIHit";"gazePointAOI_x";"gazePointAOI_y";"gazePointAOI_z";"gazePointAOI_name";"gazePointAOI_target_x";"gazePointAOI_target_y";"gazePointAOI_target_z";"gazePointAOI_target_pos_x";"gazePointAOI_target_pos_y";"gazePointAOI_target_pos_z";"gazePointAOI_target_rot_x";"gazePointAOI_target_rot_y";"gazePointAOI_target_rot_z";"gazePointAOI_target_scale_x";"gazePointAOI_target_scale_y";"gazePointAOI_target_scale_z";"GazePointAOIWebcam_x";"GazePointAOIWebcam_y";"GazePointAOIWebcam_z";"GameObject_virtual_1_xPos";"GameObject_virtual_1_yPos";"GameObject_virtual_1_zPos";"GameObject_virtual_1_xRot";"GameObject_virtual_1_yRot";"GameObject_virtual_1_zRot";"GameObject_virtual_1_xScale";"GameObject_virtual_1_yScale";"GameObject_virtual_1_zScale";"info";"velocity";"modified";"classification";"eventIndex";"eventType";"eventDuration";"fixation_x";"fixation_y";"fixation_z"
1646641390283;335085,5644;1646641390310;"True";TRUE;-0,01712;1,59935;-0,09145;-0,0118;1,5985;-0,08183;0,06506;-0,02922;0,99745;-0,06866;0,00812;0,01479;"True";0,12395;1,53753;1,9992;"SpatialMesh - 1044";1,1027;0,0027;-0,01287;-0,7338;1,52085;2,69211;89,74359;88,92132;49,85062;1;1;1;864,7255;669,3577;2,07726;875,3213;668,5895;2,07606;872,4156;670,9237;2,07655;1271,318;844,3901;2,02507;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;NA;FALSE;"gap";1;"gap";33,3339000000269;NA;NA;NA
1646641390316;335118,8983;1646641390334;"True";TRUE;-0,0171;1,59931;-0,09146;-0,01166;1,59849;-0,08185;0,06399;-0,02915;0,99753;-0,06837;0,00811;0,01475;"True";0,12182;1,53767;1,99921;"SpatialMesh - 1044";1,10105;0,00138;-0,01303;-0,7338;1,52085;2,69211;89,74207;88,92934;49,85889;1;1;1;862,8235;668,3726;2,07742;873,4143;667,614;2,07624;870,4808;669,9452;2,07672;1269,453;843,4236;2,02525;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;1,75532372394047;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390349;335152,2321;1646641390370;"True";TRUE;-0,01718;1,59924;-0,09159;-0,01166;1,59846;-0,08186;0,06289;-0,02867;0,99761;-0,06829;0,00865;0,01423;"True";0,11952;1,53866;1,9992;"SpatialMesh - 1044";1,09927;-7e-05;-0,01403;-0,7338;1,52084;2,6921;89,74435;88,94601;49,87526;1;1;1;862,9189;668,8558;2,07729;873,5085;668,095;2,07611;870,5771;670,4262;2,07659;1269,542;843,8891;2,02512;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;2,05756330085219;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390383;335185,5661;1646641390410;"True";TRUE;-0,01723;1,59926;-0,0919;-0,01199;1,5984;-0,08204;0,06112;-0,02847;0,99773;-0,06854;0,00982;0,01408;"True";0,1155;1,53902;1,99918;"SpatialMesh - 1044";1,09615;-0,0026;-0,01442;-0,7338;1,52083;2,69209;89,74131;88,96629;49,8955;1;1;1;863,7436;670,0031;2,0771;874,3347;669,2355;2,07591;871,4157;671,568;2,0764;1270,343;845,0023;2,02492;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;3,31755962674489;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390416;335218,9;1646641390435;"True";TRUE;-0,01718;1,59932;-0,09169;-0,01209;1,59847;-0,08192;0,06;-0,02797;0,99781;-0,06836;0,01049;0,01367;"True";0,11304;1,54013;1,99909;"SpatialMesh - 1044";1,09429;-0,00422;-0,01554;-0,7338;1,52083;2,69208;89,74283;88,97618;49,90564;1;1;1;864,0598;670,158;2,07658;874,6387;669,3881;2,07539;871,7308;671,7212;2,07587;1270,648;845,1454;2,0244;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;2,21418140451035;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390449;335252,2338;1646641390470;"True";TRUE;-0,01711;1,59939;-0,0918;-0,01225;1,59846;-0,08209;0,0585;-0,02712;0,99792;-0,06753;0,01144;0,01432;"True";0,10975;1,54189;1,99894;"SpatialMesh - 1044";1,09183;-0,00639;-0,01733;-0,73379;1,52082;2,69206;89,74207;88,9968;49,92628;1;1;1;864,5259;668,7134;2,07643;875,0972;667,947;2,07523;872,2004;670,2815;2,07572;1271,117;843,7504;2,02425;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;3,06047820771721;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390483;335285,5678;1646641390510;"True";TRUE;-0,01705;1,59921;-0,09189;-0,01271;1,5984;-0,08222;0,05922;-0,02796;0,99786;-0,06765;0,01139;0,01406;"True";0,11082;1,54009;1,99905;"SpatialMesh - 1044";1,09256;-0,00563;-0,01554;-0,73379;1,5208;2,69204;89,74207;89,01889;49,94783;1;1;1;865,26;667,6906;2,07678;875,8392;666,9265;2,07558;872,9503;669,2618;2,07607;1271,853;842,7747;2,02461;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;1,7183749308609;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390516;335318,9016;1646641390540;"True";TRUE;-0,01687;1,59937;-0,09191;-0,01268;1,59843;-0,08233;0,05856;-0,02812;0,99789;-0,06766;0,01097;0,01414;"True";0,10946;1,53978;1,99905;"SpatialMesh - 1044";1,09149;-0,00647;-0,01524;-0,73378;1,52079;2,69202;89,74359;89,04297;49,97169;1;1;1;862,3807;667,2377;2,07703;872,9561;666,483;2,07585;870,0231;668,8144;2,07633;1269,022;842,3145;2,02487;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;1,14796646502039;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390549;335352,2355;1646641390570;"True";TRUE;-0,01691;1,5993;-0,09204;-0,01321;1,59842;-0,0824;0,06044;-0,02863;0,99776;-0,06748;0,01067;0,01409;"True";0,11288;1,5387;1,99911;"SpatialMesh - 1044";1,09409;-0,00426;-0,01414;-0,73377;1,52079;2,692;89,74207;89,05544;49,98456;1;1;1;864,321;665,7287;2,07747;874,9083;664,9756;2,07628;872,0004;667,3092;2,07676;1270,951;840,8818;2,02531;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;2,94561430360184;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
1646641390583;335385,5694;1646641390610;"True";TRUE;-0,01696;1,5993;-0,09209;-0,01311;1,59844;-0,08246;0,06151;-0,02818;0,99771;-0,0669;0,01042;0,01406;"True";0,11522;1,53965;1,99901;"SpatialMesh - 1044";1,09594;-0,00284;-0,0151;-0,73376;1,52077;2,69197;89,74283;89,07736;50,00632;1;1;1;865,4695;664,4526;2,07759;876,0585;663,7007;2,07638;873,1682;666,0363;2,07687;1272,094;839,6607;2,02542;"False";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-3,595;1,699;2,003;0;0;0;1;1;1;NA;2,08232719500865;FALSE;"fixation";2;"fixation";600,010000000009;0,113366470588235;1,54018705882353;1,99895882352941
